score,type,episodes,studio1,studio2,source,rating,members,duration_mins,action,adventure,comedy,drama,fantasy,historical,kids,magic,mecha,romance,school,sci_fi,shounen,slice_of_life,supernatural,start_year,num_studios,num_years_running
8.78,TV,26,Sunrise,NA,Original,R - 17+ (violence & profanity),1251960,24,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1998,1,1
8.24,TV,26,Madhouse,NA,Manga,PG-13 - Teens 13 or older,558913,24,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1998,1,0
7.27,TV,26,Sunrise,NA,Original,PG-13 - Teens 13 or older,94683,25,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2002,1,0
6.98,TV,52,Toei Animation,NA,Manga,PG - Children,13224,23,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2004,1,1
7.95,TV,145,Other,NA,Manga,PG-13 - Teens 13 or older,148259,23,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2005,1,3
8.06,TV,24,J.C.Staff,NA,Manga,PG-13 - Teens 13 or older,214499,23,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,2005,1,0
7.59,TV,52,Nippon Animation,NA,Manga,PG-13 - Teens 13 or older,20470,23,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2002,1,1
8.15,TV,24,Other,NA,Manga,PG-13 - Teens 13 or older,117929,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2004,1,2
8.76,TV,74,Madhouse,NA,Manga,R+ - Mild Nudity,614100,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2004,1,1
7.91,TV,220,Studio Pierrot,NA,Manga,PG-13 - Teens 13 or older,1830540,23,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2002,1,5
8.52,TV,NA,Toei Animation,NA,Manga,PG-13 - Teens 13 or older,1352724,24,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1999,1,NA
7.9,TV,178,Other,NA,Manga,PG-13 - Teens 13 or older,141832,22,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2001,1,4
6.38,TV,12,Toei Animation,NA,Manga,PG - Children,3648,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2004,1,0
7.94,TV,26,Other,NA,Manga,PG-13 - Teens 13 or older,275464,23,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2004,1,1
7.42,TV,24,Gonzo,NA,Manga,R - 17+ (violence & profanity),111734,24,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2004,1,1
7.76,TV,22,Madhouse,NA,Original,R+ - Mild Nudity,182599,23,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2003,1,0
7.32,TV,24,Gonzo,NA,Novel,R - 17+ (violence & profanity),158343,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2005,1,0
7.95,TV,69,Sunrise,NA,Manga,PG-13 - Teens 13 or older,80183,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2004,1,2
7.51,TV,26,Studio Deen,NA,Manga,PG-13 - Teens 13 or older,16652,24,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2004,1,1
8.32,TV,26,Gainax,Tatsunoko Production,Original,PG-13 - Teens 13 or older,1160651,24,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1995,2,1
8.49,TV,25,OLM,NA,Manga,R+ - Mild Nudity,432190,25,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1997,1,1
8.73,OVA,4,Studio Deen,NA,Manga,R - 17+ (violence & profanity),228484,30,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1999,1,0
8.31,TV,94,Other,Studio Deen,Manga,PG-13 - Teens 13 or older,386195,25,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1996,2,2
6.98,TV,26,Other,NA,Original,PG-13 - Teens 13 or older,158227,24,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2002,1,0
7.32,OVA,5,AIC,NA,Manga,PG-13 - Teens 13 or older,46428,30,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1993,1,1
7.35,TV,24,AIC,NA,Manga,PG-13 - Teens 13 or older,135747,24,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2005,1,0
6.31,OVA,3,Other,NA,Manga,R+ - Mild Nudity,43960,30,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2000,1,0
7.26,TV,26,Bones,NA,Manga,PG-13 - Teens 13 or older,51022,24,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2001,1,0
7.14,TV,24,J.C.Staff,NA,Manga,PG-13 - Teens 13 or older,94793,23,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,2002,1,0
6.53,TV,26,Other,NA,Game,R - 17+ (violence & profanity),14187,22,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1999,1,0
5.91,TV,13,Other,Xebec,Original,R - 17+ (violence & profanity),15779,24,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2003,2,0
8.31,TV,26,Madhouse,NA,Manga,R - 17+ (violence & profanity),255668,25,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2004,1,1
7.05,TV,26,AIC,NA,Original,R+ - Mild Nudity,65360,23,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1999,1,1
7.43,TV,26,Madhouse,NA,Manga,PG-13 - Teens 13 or older,402646,24,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2002,1,0
7.66,TV,24,Gonzo,NA,Manga,R - 17+ (violence & profanity),198007,23,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2003,1,1
7.2,TV,26,Xebec,NA,Manga,PG-13 - Teens 13 or older,167615,23,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,2003,1,0
6.77,TV,26,feel.,Zexcs,Novel,PG-13 - Teens 13 or older,67491,24,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2003,2,0
6.62,TV,12,Other,NA,Manga,R+ - Mild Nudity,128788,23,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2004,1,0
7.44,TV,12,Other,NA,Manga,PG-13 - Teens 13 or older,176775,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2004,1,0
7.65,TV,12,Other,NA,Manga,PG-13 - Teens 13 or older,93768,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2005,1,1
7.98,TV,26,J.C.Staff,NA,Manga,PG-13 - Teens 13 or older,262980,24,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2002,1,0
7.58,TV,24,Gonzo,NA,Manga,R - 17+ (violence & profanity),156661,24,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,2005,1,0
7.38,TV,23,Gonzo,NA,Manga,PG-13 - Teens 13 or older,231668,24,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2005,1,1
6.35,TV,25,Sunrise,NA,Original,PG-13 - Teens 13 or older,9299,24,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2005,1,1
7.65,TV,24,Gonzo,NA,Novel,R - 17+ (violence & profanity),411230,24,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2002,1,0
8.07,TV,12,Kyoto Animation,NA,Novel,PG-13 - Teens 13 or older,254465,24,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2003,1,0
7.96,TV,13,Kyoto Animation,NA,Novel,R - 17+ (violence & profanity),227927,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2005,1,0
7.65,TV,26,Group TAC,NA,Manga,G - All Ages,81446,25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2004,1,1
7.3,TV,25,Xebec,NA,Original,PG-13 - Teens 13 or older,40602,24,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2004,1,0
7.42,TV,13,Other,NA,Original,PG-13 - Teens 13 or older,88890,25,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2004,1,0
7.99,TV,13,Other,NA,Original,PG-13 - Teens 13 or older,56981,25,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2005,1,0
7.09,TV,24,Other,NA,Novel,R+ - Mild Nudity,240751,23,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,2005,1,1
7.78,TV,43,Sunrise,NA,Original,PG-13 - Teens 13 or older,97216,25,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1979,1,1
8.03,OVA,12,Sunrise,NA,Original,PG-13 - Teens 13 or older,62655,25,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1996,1,3
7.9,OVA,6,Sunrise,NA,Original,PG-13 - Teens 13 or older,43308,27,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1989,1,0
7.3,OVA,13,Sunrise,NA,Original,PG-13 - Teens 13 or older,33687,30,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1991,1,1
7.92,TV,50,Sunrise,NA,Original,PG-13 - Teens 13 or older,53822,24,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1985,1,1
6.66,TV,47,Sunrise,NA,Original,PG-13 - Teens 13 or older,30758,24,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1986,1,1
6.76,TV,51,Sunrise,Studio Deen,Original,PG-13 - Teens 13 or older,20794,24,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1993,2,1
7.72,TV,49,Sunrise,NA,Original,PG-13 - Teens 13 or older,132208,24,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1995,1,1
7.76,OVA,3,Sunrise,NA,Original,PG-13 - Teens 13 or older,41030,30,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1997,1,0
7.32,TV,39,Sunrise,NA,Original,PG-13 - Teens 13 or older,28862,24,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1996,1,0
7.79,TV,50,Sunrise,NA,Original,R - 17+ (violence & profanity),140346,24,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2002,1,1
7.22,TV,50,Sunrise,NA,Original,R - 17+ (violence & profanity),90208,24,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2004,1,1
7.7,TV,50,Sunrise,Other,Original,PG-13 - Teens 13 or older,35670,24,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1999,2,1
7.56,TV,49,Sunrise,NA,Original,PG-13 - Teens 13 or older,55463,24,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1994,1,1
7.82,TV,26,Gonzo,NA,Original,PG-13 - Teens 13 or older,149528,24,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2003,1,0
7.46,TV,26,Sunrise,NA,Original,PG-13 - Teens 13 or older,101495,23,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,2004,1,1
7.31,TV,26,Sunrise,NA,Original,PG-13 - Teens 13 or older,46018,24,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2005,1,1
7.2,TV,13,Other,NA,Manga,PG-13 - Teens 13 or older,53508,23,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,2001,1,0
7.32,TV,12,Kyoto Animation,NA,Novel,PG-13 - Teens 13 or older,259381,24,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2005,1,0
7.48,TV,26,TMS Entertainment,NA,Manga,PG-13 - Teens 13 or older,89533,25,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2004,1,0
7.39,TV,74,Other,NA,Manga,G - All Ages,12006,24,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1994,1,1
7.23,TV,24,Studio Pierrot,NA,Manga,R - 17+ (violence & profanity),53189,21,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,2000,1,0
6.46,TV,13,Other,NA,Manga,PG-13 - Teens 13 or older,20032,23,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2000,1,0
7.7,TV,51,Toei Animation,NA,Manga,PG-13 - Teens 13 or older,48623,25,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1996,1,1
7.23,TV,13,Studio Deen,NA,Manga,PG-13 - Teens 13 or older,32988,24,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,2002,1,0
7.29,OVA,3,Studio Deen,NA,Manga,PG-13 - Teens 13 or older,11591,30,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2004,1,0
6.81,TV,24,Gonzo,NA,Original,PG-13 - Teens 13 or older,62106,23,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2004,1,0
7.63,TV,52,Nippon Animation,NA,Manga,PG-13 - Teens 13 or older,15608,23,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1997,1,1
6.83,TV,52,Nippon Animation,NA,Original,PG - Children,12222,25,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1999,1,1
4.95,TV,8,Other,Other,Original,PG-13 - Teens 13 or older,7392,14,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,2004,2,0
7.38,TV,26,Xebec,NA,Original,PG-13 - Teens 13 or older,20924,23,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2003,1,0
7.93,TV,26,Production I.G,NA,Manga,PG-13 - Teens 13 or older,112001,12,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2003,1,1
6.83,TV,13,AIC,NA,Original,PG-13 - Teens 13 or older,9684,25,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1998,1,0
6.97,TV,26,AIC,NA,Original,PG-13 - Teens 13 or older,14603,23,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1995,1,1
7.32,OVA,7,AIC,NA,Original,PG-13 - Teens 13 or older,15406,34,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1995,1,1
6.85,OVA,4,AIC,NA,Original,PG-13 - Teens 13 or older,7745,30,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1997,1,0
6.56,TV,13,Zexcs,NA,Novel,PG-13 - Teens 13 or older,31774,14,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,2004,1,0
7.69,TV,26,Studio Deen,NA,Manga,PG-13 - Teens 13 or older,420919,24,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,2001,1,0
8.17,TV,51,Bones,NA,Manga,PG-13 - Teens 13 or older,1151621,24,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,2003,1,1
7.96,TV,52,Studio Deen,NA,Manga,PG-13 - Teens 13 or older,90884,24,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,2002,1,1
7.64,TV,52,Studio Pierrot,NA,Manga,PG-13 - Teens 13 or older,96861,23,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1995,1,1
6.86,OVA,4,Studio Pierrot,NA,Manga,PG-13 - Teens 13 or older,15576,30,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2001,1,1
6.49,TV,13,Other,NA,Original,PG-13 - Teens 13 or older,31358,24,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2004,1,0
6.91,TV,13,Other,feel.,Original,PG-13 - Teens 13 or older,28297,24,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2005,3,0
6.96,TV,24,Gonzo,NA,Game,PG-13 - Teens 13 or older,19351,25,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,2000,1,0
6.79,OVA,6,Gonzo,NA,Game,PG-13 - Teens 13 or older,9399,30,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2002,1,1
7.59,TV,50,Studio Pierrot,NA,Manga,R - 17+ (violence & profanity),46228,23,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,2000,1,1
7.41,TV,25,Studio Pierrot,NA,Manga,PG-13 - Teens 13 or older,28277,23,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2003,1,1
7.42,TV,26,Studio Pierrot,NA,Manga,PG-13 - Teens 13 or older,19393,24,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2004,1,0
7.61,TV,49,Studio Deen,NA,Manga,PG-13 - Teens 13 or older,105139,24,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2002,1,1
6.21,TV,12,Other,NA,Novel,R+ - Mild Nudity,106208,24,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2003,1,0
7.42,TV,13,Madhouse,NA,Manga,R - 17+ (violence & profanity),161010,24,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2003,1,1
8.11,TV,75,Studio Pierrot,NA,Manga,PG-13 - Teens 13 or older,111164,23,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2001,1,2
8.42,TV,62,Nippon Animation,NA,Manga,PG-13 - Teens 13 or older,416227,23,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1999,1,2
8.33,OVA,8,Nippon Animation,NA,Manga,PG-13 - Teens 13 or older,101579,24,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2002,1,0
8.21,OVA,8,Nippon Animation,NA,Manga,PG-13 - Teens 13 or older,116633,22,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2003,1,0
8.29,OVA,14,Nippon Animation,NA,Manga,PG-13 - Teens 13 or older,111292,24,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2004,1,0
6.14,TV,12,feel.,NA,Manga,R - 17+ (violence & profanity),9900,23,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2005,1,0
7.45,TV,44,Toei Animation,NA,Manga,PG-13 - Teens 13 or older,46140,24,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1999,1,1
6.87,TV,12,TNK,NA,Manga,PG-13 - Teens 13 or older,60077,24,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,2004,1,0
7.11,TV,13,Toei Animation,NA,Novel,G - All Ages,55784,24,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2002,1,0
7.61,TV,26,Gainax,J.C.Staff,Manga,PG-13 - Teens 13 or older,170539,24,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1998,2,1
6.76,TV,12,Gainax,Shaft,Original,R+ - Mild Nudity,54222,24,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,2004,2,0
7.24,TV,14,Other,NA,Novel,R+ - Mild Nudity,123752,23,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2003,1,1
6.62,TV,12,Studio Deen,NA,Novel,PG-13 - Teens 13 or older,7823,24,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2004,1,0
6.86,TV,12,J.C.Staff,NA,Manga,PG-13 - Teens 13 or older,121063,24,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,2005,1,0
7.66,TV,50,Production I.G,NA,Original,R - 17+ (violence & profanity),317767,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2005,1,1
7.12,OVA,3,Gainax,Toei Animation,Manga,R+ - Mild Nudity,22697,46,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2004,2,0
7.28,TV,24,Gonzo,NA,Original,R - 17+ (violence & profanity),25666,23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2005,1,1
8.06,TV,45,Studio Pierrot,NA,Novel,PG-13 - Teens 13 or older,113627,25,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2002,1,1
7.78,TV,64,Xebec,NA,Manga,PG-13 - Teens 13 or older,294021,23,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2001,1,1
7.43,TV,24,Madhouse,NA,Manga,R+ - Mild Nudity,69684,24,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,2001,1,1
6.98,TV,26,Xebec,NA,Manga,PG-13 - Teens 13 or older,121120,23,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,2005,1,0
7.34,TV,13,Studio Deen,NA,Novel,PG-13 - Teens 13 or older,53511,24,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2004,1,0
6.34,TV,24,Gainax,J.C.Staff,Manga,PG-13 - Teens 13 or older,16632,23,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,2004,2,0
7.66,TV,13,AIC,NA,Original,R - 17+ (violence & profanity),108100,25,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1999,1,1
7.33,TV,24,Gonzo,NA,Manga,R - 17+ (violence & profanity),50151,24,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2003,1,1
6.94,TV,26,Madhouse,NA,Manga,G - All Ages,20422,24,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,2002,1,0
6.48,TV,26,Studio Pierrot,NA,Game,PG - Children,6378,20,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1999,1,0
7.42,TV,26,Bones,NA,Original,PG-13 - Teens 13 or older,100343,23,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2002,1,0
7.48,TV,26,Gonzo,NA,Other,PG-13 - Teens 13 or older,110124,26,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2004,1,0
7.41,TV,24,Bones,NA,Novel,PG-13 - Teens 13 or older,81917,23,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,2003,1,0
7.38,TV,26,Sunrise,NA,Original,PG-13 - Teens 13 or older,72311,24,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2001,1,0
6.91,TV,12,J.C.Staff,NA,Novel,R - 17+ (violence & profanity),135721,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2003,1,0
8.53,TV,101,Toei Animation,NA,Manga,PG-13 - Teens 13 or older,201203,23,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1993,1,3
6.35,TV,13,Other,NA,Original,PG - Children,4112,23,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2000,1,0
7.23,TV,25,Studio Deen,NA,Manga,PG-13 - Teens 13 or older,36569,24,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,2004,1,1
6.93,TV,24,Madhouse,NA,Manga,R - 17+ (violence & profanity),158482,23,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2004,1,0
6.63,TV,26,Studio Pierrot,NA,Manga,PG-13 - Teens 13 or older,25243,25,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2002,1,0
6.19,OVA,4,Other,NA,Novel,PG-13 - Teens 13 or older,6030,28,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2003,1,0
7.55,TV,26,Other,NA,Manga,PG-13 - Teens 13 or older,195978,25,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,2005,1,0
7.18,TV,26,Production Reed,NA,Manga,G - All Ages,27718,24,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2003,1,0
7.21,TV,13,Gonzo,NA,Original,PG-13 - Teens 13 or older,73554,22,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2000,1,0
7.42,TV,13,Gonzo,NA,Original,PG-13 - Teens 13 or older,47649,22,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2001,1,1
7.7,TV,26,Sunrise,NA,Original,PG-13 - Teens 13 or older,127239,24,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1996,1,0
7.39,TV,39,Other,NA,Manga,G - All Ages,12063,24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2002,1,1
6.37,TV,12,Toei Animation,NA,Game,PG-13 - Teens 13 or older,17824,23,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2005,1,0
8.29,TV,26,Other,Other,Manga,PG-13 - Teens 13 or older,229315,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998,2,0
8.12,TV,13,Other,NA,Manga,PG-13 - Teens 13 or older,134642,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1999,1,1
6.11,OVA,4,NA,NA,Original,Rx - Hentai,2308,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1998,0,1
7.14,TV,24,Xebec,NA,Manga,PG-13 - Teens 13 or older,225891,23,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2000,1,0
7.25,OVA,3,Xebec,NA,Manga,PG-13 - Teens 13 or older,76962,30,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,2002,1,0
6.8,TV,24,J.C.Staff,NA,Novel,R+ - Mild Nudity,85634,24,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,2003,1,1
7.55,OVA,5,Satelight,NA,Original,R+ - Mild Nudity,33232,30,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,2002,1,2
7.17,TV,12,Other,NA,Original,PG-13 - Teens 13 or older,147889,23,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2002,1,0
6.88,TV,12,Other,NA,Original,PG-13 - Teens 13 or older,77733,25,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2003,1,0
6.55,TV,24,Madhouse,Other,Manga,R+ - Mild Nudity,21968,15,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2002,2,0
7.35,TV,24,Gonzo,NA,Original,R+ - Mild Nudity,95801,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,1,0
7.48,TV,50,TMS Entertainment,NA,Manga,PG-13 - Teens 13 or older,22832,24,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2002,1,1
